track_id,name,artist,album,release_year,release_date,release_date_precision,disc_number,track_number,total_tracks,explicit,popularity,external_id,duration_ms,preview_url,play_count
23OHrfpQ0wSgtQYvQXgLwr,ワイはワイワイでいいワイ～おまえワィ?～,GReeeeN,歌うたいが歌うたいに来て 歌うたえと言うが 歌うたいが歌うたうだけうたい切れば 歌うたうけれども 歌うたいだけ 歌うたい切れないから 歌うたわぬ!?,2012.0,2012-01-01,day,1,13,15,False,29,JPPO01202629,165200,https://p.scdn.co/mp3-preview/2d88e9b33d08ba21c208e7652f20fcefce06cac9,1563324
5YtsKrHKCYyRTS12E5aidZ,Go Round,Namie Amuro,Go Round / YEAH-OH,2012.0,2012-03-21,day,1,1,4,False,0,JPB601210201,208866,,1521141
6Y3pBjuwEQoyMpDLWaN8S4,LOVERS partII,Miliyah,TRUE LOVERS,2012.0,2012-11-21,day,1,3,14,False,32,JPSR01203081,401813,https://p.scdn.co/mp3-preview/cbc1495344fabc96564a584b52bd6f7da9732d00,1469119
5MB9YBYXpNaftBCJxzqs4h,運命のヒト - Orchestra Version,EXILE,EXILE BEST HITS -LOVE SIDE / SOUL SIDE-,2012.0,2012-12-05,day,1,11,29,False,22,JPB600709609,325546,https://p.scdn.co/mp3-preview/1b69eeebbb4175fe681c50a0a087b96d3b071236,1442955
1M6mfqK6StCQ1kZT5N9dyd,UZA,AKB48,UZA<Type-A>【通常盤】,2012.0,2012-10-31,day,1,1,3,False,32,JPKI01215788,280946,https://p.scdn.co/mp3-preview/863f066d4e3c0cd9b8ac875657cd6dd72e8e6979,1412647
3PhLL0qOjPbGnlU9sSCuf0,Kiss You Tonight,J SOUL BROTHERS III,0〜ZERO〜,2012.0,2012-08-08,day,1,3,8,False,29,JPB601232802,266026,https://p.scdn.co/mp3-preview/0532e18f68ba08c8ee9ffdb90c233b6c4d3fd315,1387187
6FfSbUtFTSXbpYCxrp4nbo,パロディ,Gen Hoshino,夢の外へ,2012.0,2012-07-04,day,1,2,4,False,25,JPVI01211050,266178,https://p.scdn.co/mp3-preview/421a7a79b74c899f3d17201bbaa87998741a7fcb,1373361
55k9TG7lKdY1f9kb0qOXBb,君の代わり,back number,わたがし,2012.0,2012-07-18,day,1,3,6,False,43,JPPO01208481,295040,https://p.scdn.co/mp3-preview/641b0f060742f7ee79f26ed04672cd12b4d51148,1371833
1GkjM3YFmgiE23gyezCySh,Second Limit,MY FIRST STORY,MY FIRST STORY,2012.0,2012-04-04,day,1,3,8,False,31,JPB951205027,246053,https://p.scdn.co/mp3-preview/dd5d9e1eb2371bd0eebb9b18259d0b9b677668eb,1370969
5TqwwitwQxdWi3LA1Sif5f,One Night Animal,AAA,Another side of #AAABEST,2012.0,2012-03-21,day,1,1,19,False,21,JPB600819302,277333,https://p.scdn.co/mp3-preview/b0f935e1f789f63e372ea63dc90cb5b8068bb7ef,1342578
2PPVfiwtVfsnEcTcimX7YN,首なし閑古鳥,Kenshi Yonezu,diorama,2012.0,2012-05-16,day,1,12,14,False,38,JPA651201887,263706,https://p.scdn.co/mp3-preview/7cfbe53078b603263c3b79ab4b7dffa45ab715a5,1294968
02rGpenmqtONBsljz14ah5,Up to you,ARASHI,Popcorn,2012.0,2012-10-31,day,1,16,16,False,38,JPQ401201080,258671,https://p.scdn.co/mp3-preview/42628ce1babecbf058fbc905b18d6836443a51a2,1264928
0D9DlWTFdy1BG86ll1HlFC,僕が今できることを,back number,blues,2012.0,2012-11-21,day,1,11,12,False,41,JPPO01221738,277360,https://p.scdn.co/mp3-preview/48e108936cf8897903abd588754171a8d6abd108,1193403
5q9vKYLCiwCBPSuxrvj1NE,左胸の勇気,Nogizaka46,ぐるぐるカーテン Type-A,2012.0,2012-02-22,day,1,2,6,False,24,JPSR01200281,295226,https://p.scdn.co/mp3-preview/4084bf4eb369806880c452e2b5bd5c7b559b1ed0,1162909
5ipdKJKoH1OFZysw3sy6hE,猛烈宇宙交響曲･第七楽章｢無限の愛｣,Momoiro Clover Z,猛烈宇宙交響曲･第七楽章｢無限の愛｣,2012.0,2012-03-07,day,1,1,3,False,31,JPKI01119496,311533,https://p.scdn.co/mp3-preview/cf0982032fb406a49259ab137a3a3e94a418a4d8,1156475
7aa0ZXEWxYj0BpgB9P63yv,心像放映,Kenshi Yonezu,diorama,2012.0,2012-05-16,day,1,13,14,False,37,JPA651201888,244000,https://p.scdn.co/mp3-preview/f70df6a0af89d34ba57c063147f8c9dd394f456b,1138937
74aJ5fTo7a1Y5ct9LjDQdT,永遠プレッシャー,AKB48,永遠プレッシャー<Type-A>,2012.0,2012-12-05,day,1,1,3,False,28,JPKI01216993,297093,https://p.scdn.co/mp3-preview/4a91a75c09896e305edeba251b1d18a4e5826000,1121708
45ZmB7f03E6pfZB3HNvD9T,一笑懸命,Yusuke,「あの・・涙があるから愛があるんですケド。」コンプリートパック,2012.0,2012-04-04,day,1,2,16,False,28,JPSR01103021,232346,https://p.scdn.co/mp3-preview/5a05304c2b35e672ca925a149c59f331c55a7e3c,1072750
7u78KyY8IjQ13HScbQzL8I,ネプトゥーヌス,sakanaction,僕と花,2012.0,2012-05-30,day,1,2,3,False,33,JPVI01206710,361955,https://p.scdn.co/mp3-preview/9f3fc67f73720d16dba63c9d13de41972ad05c82,985079
4CXoSyQU0S1gdv5f96fWCV,Beautiful life,Masaharu Fukuyama,Beautiful life ／ GAME,2012.0,2012-10-10,day,1,1,7,False,36,JPPO01218323,333893,https://p.scdn.co/mp3-preview/3398141338dbe26b71ec6fb554893ee18f0e44d4,944070
7JADO6SWMQEzygBmqsjpQg,sa_i_ta,Tokyo Incidents,color bars,2012.0,2012-01-01,year,1,4,5,False,25,JPTO01101661,329093,https://p.scdn.co/mp3-preview/48ebf007091bb1f83aa2a37f15ed0b526a049159,917010
6oMiXNscelzq5QHgLjpUQi,片想いFinally,SKE48,片想いFinally,2012.0,2012-01-25,day,1,1,3,False,30,JPB601173301,271373,https://p.scdn.co/mp3-preview/1cd0562903b7bcfb64561d55fe52f172887e031d,826734
1cg6kSLmQgWFkJOANd6qro,奏(かなで),BENI,COVERS (<English Ver.>),2012.0,2012-01-01,day,1,4,13,False,30,JPPO01200386,307546,https://p.scdn.co/mp3-preview/bc7faf4c655a370a0c4b08aded3c74100e13106d,774466
0X88j9XDLEDuMdDtwMWgjx,始まる、未来,SUPER BEAVER,未来の始めかた,2012.0,2012-07-11,day,1,9,9,False,30,JPZ921205697,270280,https://p.scdn.co/mp3-preview/499fab35493f7f4eccde2a61a134ec967ffd5016,739722
35yOQ66Xv5bxry0BXUPGQU,EGOiSTiC SHOOTER,LiSA,"LOVER""S""MiLE",2012.0,2012-02-22,day,1,4,13,False,30,JPE301200083,184333,https://p.scdn.co/mp3-preview/e9a59a48cb66b9a30eb7f9f814b969762c2c2fe4,711099
5LZqTuoj8d9VGy5PckAJJG,マウンテン・マウンテン,cero,My Lost City,2012.0,2012-10-24,day,1,2,11,False,32,JPJ901216750,203973,https://p.scdn.co/mp3-preview/ea2ee6fa6a046d6948c55f0d63ceb6ca93f00661,696424
6Wz4F9OCgmiNhNUpvdXiFU,Brave,Kumi Koda,JAPONESQUE,2012.0,2012-01-25,day,1,6,19,False,34,JPB601175306,307573,https://p.scdn.co/mp3-preview/d3f9e3574b9607b0a890d14036a4f3dce4cb59dc,685088
4n1hmiV1acBqXrdRJNLFrX,会いたかったかもしれない,Nogizaka46,ぐるぐるカーテン Type-B,2012.0,2012-02-22,day,1,3,6,False,28,JPSR01200122,231640,https://p.scdn.co/mp3-preview/54a78d204b8eb2d8a646fc7da93ebad3f82e0791,655842
05JxZdcFC0kuj8DJbEVaR7,multiple exposure,sakanaction,夜の踊り子,2012.0,2012-08-29,day,1,2,3,False,29,JPVI01217700,316997,https://p.scdn.co/mp3-preview/645c60925408d23e062857f682af3c7c3d651a42,652196
017dqEgUtXe2fXNl0uKDPd,告白,Angela Aki,BLUE,2012.0,2012-07-18,day,1,2,13,False,33,JPES01201081,263586,https://p.scdn.co/mp3-preview/0f603406d5e0a49e59685532d0a96d5d9274464b,639737
2lUPEe1T2adhc0OoDIfAxo,JUNGLES,10-FEET,thread,2012.0,2012-01-01,day,1,1,12,False,31,JPPO01213893,224853,https://p.scdn.co/mp3-preview/a7a475afe7f849f457686f524a9d8e036ae4c629,639048
